gauge_id;gauge;leitercharackter_huek250;gesteinsart_huek250;soil_texture_boart_1000;durchlässigkeit_huek250;dominating_soil_type_bk500;land_use_corine;area_m2_watershed;grundwasserneubildung_gwn_1000;greundigkeit_physgru_1000;slope_mean_dem_40;elongation_ratio;et_mean;dis_mean;prec_mean;runoff_ratio
42110304;Hettenhausen;Grundwasser-Leiter/Geringleiter;Sediment;Tonschluffe (tu);maessig bis gering (>1E-6 - 1E-4);Eutric Cambisols / Stagnic Gleysols;Grassland;54682716.16;212.451112;5.910326087;9.924622588;0.513738678;507.2479721;514.9501693;1022.198141;0.503767468
44840308;Hofgeismar;Grundwasser-Leiter;Sediment;Lehmsande (ls);maessig (>1E-5 - 1E-4);Dystric Cambisols;Wood;49215850.52;142.0852437;8.062942008;3.936318697;0.49707386;641.0809818;143.5013229;784.5823047;0.182901554
41860900;Hoheneiche;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);stark variabel;Dystric Cambisols;Grassland;224478203.2;107.4049074;7.659597523;8.383041921;0.793774881;533.0219224;210.7277105;743.5854961;0.283394057
44850108;Huemme;Grundwasser-Geringleiter;Sediment;Schlufftone (ut);gering bis aeußerst gering (<1E-5);Eutric Cambisols / Stagnic Gleysols ;Agriculture;187691725;103.2484729;11.71453287;3.623522742;0.503232168;560.0001398;165.8975825;725.8977223;0.228541263
24850058;Ilbenstadt;Grundwasser-Leiter;Magmatit;Tonschluffe (tu);mittel bis maessig (>1E-5 - 1E-3);Eutric Cambisols;Agriculture;1073589952;92.74450218;14.20226008;4.003328862;0.526018079;536.1607858;168.1346032;704.295389;0.238727395
24480695;Jossa-neu;Grundwasser-Geringleiter;Sediment;Lehmsande (ls);gering (>1E-7 - 1E-5);Dystric Cambisols;Wood;146814783.2;180.8141143;5.09591268;8.362359394;0.414249816;576.3828109;360.9189506;938.9526709;0.384384604
42350057;Kaemmerzell;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Grassland;562041980.8;156.8604833;6.600991824;6.382658618;0.589018266;499.4313398;347.3399776;846.7713174;0.410193367
24783358;Kassel;Grundwasser-Geringleiter;Sediment;Lehmsande (ls);gering (>1E-7 - 1E-5);Dystric Cambisols;Grassland;79800397.81;172.2754707;8.444158076;10.57861597;0.602327416;693.4152563;270.3627897;963.778046;0.280523914
42250256;Kerzell;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Grassland;190004668.3;161.6828782;6.444528875;5.196892638;0.617497484;463.2034587;388.6721375;853.9011748;0.455172272
42560300;Kirchheim;Grundwasser-Leiter/Geringleiter;Sediment;Lehmsande (ls);maessig bis gering (>1E-6 - 1E-4);Dystric Cambisols;Wood;72111641.01;95.6674245;5.464074803;8.013969299;0.569018637;501.5196495;258.8701752;761.2775629;0.340047031
